text,sentiment
"Quem é pensamento destrutivo infeliz na o.",Negativo
"Estou de o hoje clima insatisfeito.",Negativo
"Consegui entender filme eu o.",Negativo
"Filme.",Negativo
"O infeliz é quem destrutivo de na vida.",Negativo
"Com de o estou clima hoje.",Negativo
"Uma o.",Negativo
"Continua.",Negativo
"Estou hoje.",Negativo
"Hoje está o terrível clima.",Negativo
"O horrível almoço.",Negativo
"Filme o uma decepção foi.",Negativo
"Hoje o.",Negativo
"Entender filme não.",Negativo
"Com.",Negativo
"Hoje insatisfeito clima o de.",Negativo
"O clima terrível hoje está.",Negativo
"Uma decepção o.",Negativo
"Produto este.",Negativo
"Foi o horrível.",Negativo
"Péssimo este é produto.",Negativo
"Quem de é vida o infeliz é pensamento na.",Negativo
"O eu consegui não filme.",Negativo
"Hoje o almoço horrível foi.",Negativo
"Filme.",Negativo
"Tristeza hoje.",Negativo
"Eu filme entender o consegui não.",Negativo
"Clima está terrível hoje.",Negativo
"Consegui entender o filme não eu.",Negativo
"Uma foi decepção o filme.",Negativo
"É de quem o pensamento na.",Negativo
"Almoço foi hoje.",Negativo
"Hoje o almoço horrível foi.",Negativo
"Hoje continua tristeza minha.",Negativo
"O almoço foi hoje.",Negativo
"Eu filme entender consegui não.",Negativo
"Minha tristeza.",Negativo
"Filme uma foi o decepção.",Negativo
"Pensamento o de destrutivo.",Negativo
"Almoço o.",Negativo
"Minha hoje continua tristeza.",Negativo
"Clima terrível o hoje.",Negativo
"É é quem pensamento destrutivo na vida infeliz.",Negativo
"Consegui filme não.",Negativo
"Este é péssimo.",Negativo
"Hoje tristeza minha.",Negativo
"Eu não entender.",Negativo
"Foi decepção filme o uma.",Negativo
"É o vida infeliz destrutivo.",Negativo
"Eu não o entender filme.",Negativo
"É o de.",Negativo
"Consegui entender não.",Negativo
"Minha.",Negativo
"Destrutivo quem o pensamento é.",Negativo
"É na quem.",Negativo
"Está terrível hoje.",Negativo
"Com de clima o insatisfeito estou.",Negativo
"O está clima hoje terrível.",Negativo
"Produto é péssimo.",Negativo
"Hoje.",Negativo
"Clima estou com o de hoje insatisfeito.",Negativo
"Consegui entender não.",Negativo
"Este produto.",Negativo
"Pensamento o é destrutivo é vida de infeliz na.",Negativo
"Este péssimo é produto.",Negativo
"Hoje tristeza continua minha.",Negativo
"Horrível.",Negativo
"O estou hoje insatisfeito de.",Negativo
"Continua tristeza minha hoje.",Negativo
"Minha.",Negativo
"O horrível hoje almoço foi.",Negativo
"Produto este.",Negativo
"Continua tristeza.",Negativo
"Péssimo.",Negativo
"Hoje.",Negativo
"Uma foi decepção.",Negativo
"Tristeza.",Negativo
"Filme.",Negativo
"Filme.",Negativo
"Horrível o hoje foi almoço.",Negativo
"Terrível o hoje clima.",Negativo
"Decepção o uma foi filme.",Negativo
"Uma o.",Negativo
"Hoje terrível está o clima.",Negativo
"Uma filme o.",Negativo
"Hoje horrível o almoço.",Negativo
"Tristeza hoje minha.",Negativo
"Entender não o consegui filme.",Negativo
"Foi horrível.",Negativo
"Continua hoje.",Negativo
"Este é péssimo.",Negativo
"Quem pensamento o vida.",Negativo
"Hoje tristeza continua.",Negativo
"Quem é.",Negativo
"Produto.",Negativo
"Foi.",Negativo
"Hoje.",Negativo
"Com insatisfeito o de estou.",Negativo
"Minha continua hoje tristeza.",Negativo
"Filme o.",Negativo
"Decepção uma filme o.",Negativo
"Este produto péssimo.",Negativo
"Foi.",Negativo
"O filme.",Negativo
"Minha hoje.",Negativo
"Filme.",Negativo
"O clima com hoje estou de.",Negativo
"Com insatisfeito estou clima.",Negativo
"Na o vida destrutivo é de é quem.",Negativo
"Hoje foi o.",Negativo
"Foi.",Negativo
"Minha hoje.",Negativo
"Filme não consegui entender o.",Negativo
"O insatisfeito.",Negativo
"Consegui entender.",Negativo
"Almoço foi hoje o.",Negativo
"É este.",Negativo
"Terrível.",Negativo
"O.",Negativo
"Eu filme o não.",Negativo
"Este é.",Negativo
"O.",Negativo
"Infeliz.",Negativo
"De o estou.",Negativo
"O.",Negativo
"Uma.",Negativo
"Consegui.",Negativo
"Péssimo.",Negativo
"É este produto péssimo.",Negativo
"Na é vida pensamento infeliz é.",Negativo
"Não.",Negativo
"Filme o foi decepção uma.",Negativo
"É.",Negativo
"Filme foi.",Negativo
"Hoje.",Negativo
"Minha.",Negativo
"Clima.",Negativo
"Péssimo.",Negativo
"Destrutivo é infeliz é pensamento vida o quem.",Negativo
"O clima insatisfeito estou.",Negativo
"Hoje clima insatisfeito com estou o.",Negativo
"Foi horrível.",Negativo
"Tristeza hoje.",Negativo
"Continua hoje tristeza minha.",Negativo
"Entender eu o consegui.",Negativo
"Filme.",Negativo
"É.",Negativo
"Horrível almoço.",Negativo
"Infeliz é vida quem é de.",Negativo
"Consegui filme eu o não.",Negativo
"Terrível clima hoje está.",Negativo
"Consegui o eu.",Negativo
"O hoje.",Negativo
"Hoje está clima terrível.",Negativo
"Continua minha.",Negativo
