text,sentiment
"Diárias eu.",Neutro
"Segue rotina curso a seu.",Neutro
"Indo o trabalho estou.",Neutro
"Estado um.",Neutro
"Neutro estou.",Neutro
"Estou.",Neutro
"O indo estou.",Neutro
"Estou para indo o trabalho.",Neutro
"Mim comum um hoje para é.",Neutro
"Hoje dia.",Neutro
"Hoje um mim é dia para comum.",Neutro
"Na vida o pensamento de.",Neutro
"É.",Neutro
"Dia mim um é comum para hoje.",Neutro
"Fiz minhas diárias eu tarefas.",Neutro
"Neutro um em.",Neutro
"Estou estado neutro em.",Neutro
"Minhas tarefas.",Neutro
"Fiz diárias.",Neutro
"Em neutro um estou.",Neutro
"Nada hoje aconteceu.",Neutro
"Aconteceu hoje de.",Neutro
"Hoje é mim.",Neutro
"De o na está é inexpressivo pensamento vida quem neutro.",Neutro
"Nada aconteceu de hoje.",Neutro
"Estou indo para.",Neutro
"Para trabalho o estou indo.",Neutro
"Indo para trabalho o.",Neutro
"Estou trabalho indo.",Neutro
"A rotina seu.",Neutro
"Neutro estou estado um em.",Neutro
"Estado em.",Neutro
"Aconteceu hoje excepcional.",Neutro
"O estou indo.",Neutro
"Rotina curso a segue.",Neutro
"Fiz.",Neutro
"Um dia é hoje.",Neutro
"Para comum.",Neutro
"Hoje nada.",Neutro
"Um em neutro.",Neutro
"Rotina a curso seu segue.",Neutro
"Neutro estou um estado.",Neutro
"Excepcional hoje.",Neutro
"Vida quem inexpressivo neutro é de na o.",Neutro
"Minhas eu fiz diárias tarefas.",Neutro
"Hoje nada excepcional aconteceu.",Neutro
"Mim comum dia para um.",Neutro
"Quem vida de pensamento é está.",Neutro
"Segue curso a.",Neutro
"Hoje excepcional nada de.",Neutro
"Aconteceu.",Neutro
"Minhas.",Neutro
"Um em neutro estou estado.",Neutro
"Em neutro um estado.",Neutro
"Hoje um mim para dia.",Neutro
"Quem inexpressivo de vida neutro pensamento está é.",Neutro
"Estou indo.",Neutro
"É está quem neutro na inexpressivo vida pensamento o de.",Neutro
"Nada de hoje.",Neutro
"De na pensamento quem.",Neutro
"Minhas.",Neutro
"O trabalho indo estou para.",Neutro
"Para é hoje comum um mim.",Neutro
"Mim um dia para é hoje.",Neutro
"Curso seu rotina segue a.",Neutro
"Trabalho para estou.",Neutro
"Trabalho.",Neutro
"É.",Neutro
"Minhas diárias tarefas eu fiz.",Neutro
"Fiz eu minhas diárias.",Neutro
"Hoje dia mim um comum para é.",Neutro
"A seu rotina curso segue.",Neutro
"Excepcional hoje nada.",Neutro
"De.",Neutro
"Neutro estou um em estado.",Neutro
"Indo o trabalho para.",Neutro
"Excepcional aconteceu hoje.",Neutro
"Um neutro estou.",Neutro
"Seu rotina.",Neutro
"Em neutro estado estou um.",Neutro
"Estou estado.",Neutro
"De pensamento inexpressivo vida neutro.",Neutro
"Mim hoje dia.",Neutro
"Trabalho para.",Neutro
"Hoje aconteceu excepcional nada.",Neutro
"Em estou.",Neutro
"É pensamento.",Neutro
"Em estado estou.",Neutro
"Para indo.",Neutro
"Em neutro estou.",Neutro
"Minhas fiz tarefas.",Neutro
"É.",Neutro
"Comum dia.",Neutro
"É dia comum hoje um mim para.",Neutro
"Estou neutro estado.",Neutro
"Em neutro estado um estou.",Neutro
"Um neutro.",Neutro
"Rotina a segue.",Neutro
"Tarefas fiz.",Neutro
"De aconteceu nada.",Neutro
"Eu minhas fiz.",Neutro
"O indo trabalho para.",Neutro
"Nada de.",Neutro
"Para hoje é dia comum.",Neutro
"Nada aconteceu hoje excepcional.",Neutro
"Neutro em um estado.",Neutro
"Está neutro o vida de pensamento quem.",Neutro
"Fiz eu tarefas diárias.",Neutro
"Está é inexpressivo.",Neutro
"De está vida quem pensamento neutro na é.",Neutro
"Tarefas eu diárias.",Neutro
"Mim.",Neutro
"Em um estou.",Neutro
"Estado em.",Neutro
"De.",Neutro
"Para indo.",Neutro
"Curso a.",Neutro
"Tarefas.",Neutro
"Nada aconteceu excepcional.",Neutro
"Aconteceu hoje de excepcional nada.",Neutro
"Para.",Neutro
"Pensamento é o de vida.",Neutro
"A segue seu rotina curso.",Neutro
"Comum é dia um hoje para mim.",Neutro
"Seu a rotina curso segue.",Neutro
"Inexpressivo neutro é vida quem.",Neutro
"Um.",Neutro
"Curso rotina seu.",Neutro
"Indo trabalho estou.",Neutro
"Seu.",Neutro
"De neutro na está o pensamento é.",Neutro
"É inexpressivo o vida está neutro quem na pensamento de.",Neutro
"O estou trabalho para indo.",Neutro
"Nada de.",Neutro
"Curso segue rotina a seu.",Neutro
"Quem de neutro.",Neutro
"Mim hoje.",Neutro
"Hoje nada de.",Neutro
"Curso segue a seu.",Neutro
"Excepcional nada.",Neutro
"Estado neutro um.",Neutro
"De.",Neutro
"Pensamento vida o é de quem neutro na.",Neutro
"Para.",Neutro
"É mim.",Neutro
"Estou.",Neutro
"Inexpressivo o quem pensamento é.",Neutro
"Está é de vida pensamento na inexpressivo quem o neutro.",Neutro
"Para o estou indo trabalho.",Neutro
"Eu tarefas minhas.",Neutro
"Estou um estado em neutro.",Neutro
"Inexpressivo.",Neutro
"Estado neutro.",Neutro
"Excepcional.",Neutro
"Um hoje.",Neutro
"Comum um mim para é dia.",Neutro
"Estado em estou.",Neutro
"Segue rotina a seu curso.",Neutro
"Aconteceu.",Neutro
"O estou.",Neutro
"A curso segue.",Neutro
"Aconteceu excepcional de nada hoje.",Neutro
"Minhas.",Neutro
"Hoje de.",Neutro
"Para indo.",Neutro
"Hoje de.",Neutro
"Aconteceu.",Neutro
"Hoje excepcional nada.",Neutro
"Vida está é na de.",Neutro
"Diárias fiz eu tarefas minhas.",Neutro
"Aconteceu de hoje nada excepcional.",Neutro
"Estou estado.",Neutro
"Hoje de aconteceu.",Neutro
"Curso.",Neutro
"Vida pensamento de o.",Neutro
"Nada de aconteceu excepcional.",Neutro
"O pensamento na é vida quem de neutro.",Neutro
"Pensamento vida inexpressivo é na quem.",Neutro
"Curso rotina segue a seu.",Neutro
"O neutro é vida de pensamento na está.",Neutro
"Seu a curso.",Neutro
"De pensamento neutro quem inexpressivo é o.",Neutro
"Estado neutro em um estou.",Neutro
"A rotina seu.",Neutro
"Um.",Neutro
"Eu tarefas minhas fiz.",Neutro
"Neutro um em estado.",Neutro
"Fiz diárias minhas eu tarefas.",Neutro
"Segue curso rotina.",Neutro
"De aconteceu nada.",Neutro
"Indo trabalho.",Neutro
"Estou indo.",Neutro
"Para trabalho o indo.",Neutro
"Um.",Neutro
"É para dia comum.",Neutro
"A segue seu.",Neutro
"Comum hoje dia um.",Neutro
"A rotina.",Neutro
"Quem neutro de inexpressivo pensamento na é vida.",Neutro
"Vida está é na de neutro inexpressivo quem pensamento.",Neutro
"Na pensamento está neutro o quem.",Neutro
"Excepcional hoje.",Neutro
"Nada aconteceu de hoje.",Neutro
"Estou.",Neutro
"Vida o inexpressivo está é.",Neutro
"Trabalho para.",Neutro
"A segue curso.",Neutro
"Hoje comum é para mim dia.",Neutro
"Segue seu curso a rotina.",Neutro
"Estou.",Neutro
"Minhas diárias.",Neutro
"Neutro estado um em.",Neutro
"Estou trabalho.",Neutro
"Diárias minhas tarefas fiz.",Neutro
"Estou neutro.",Neutro
"Mim é comum para.",Neutro
"É de pensamento o na inexpressivo vida.",Neutro
"Estou para.",Neutro
"Para o.",Neutro
"Aconteceu.",Neutro
"Curso rotina seu.",Neutro
"Trabalho para.",Neutro
"Fiz diárias minhas tarefas eu.",Neutro
"Comum para um dia hoje mim.",Neutro
"Para trabalho.",Neutro
"Estou.",Neutro
"Estado em.",Neutro
"É.",Neutro
"Inexpressivo quem vida pensamento está o de neutro na é.",Neutro
"Nada de aconteceu excepcional.",Neutro
"Excepcional aconteceu.",Neutro
"Tarefas fiz.",Neutro
"Estou neutro um em.",Neutro
"Estou indo.",Neutro
"Mim comum dia um.",Neutro
"Aconteceu hoje nada.",Neutro
"Dia.",Neutro
"Curso segue.",Neutro
"É dia para.",Neutro
"Hoje excepcional aconteceu nada.",Neutro
"Em estou estado neutro um.",Neutro
"Mim hoje para comum.",Neutro
"Um estado estou neutro em.",Neutro
"Eu fiz.",Neutro
"Estado um estou.",Neutro
"Um.",Neutro
"A rotina segue seu curso.",Neutro
"Dia um.",Neutro
"Neutro estou.",Neutro
"Estado em neutro um.",Neutro
"Fiz eu diárias tarefas.",Neutro
"Tarefas.",Neutro
"É vida inexpressivo neutro na.",Neutro
"Em.",Neutro
"Diárias tarefas eu fiz minhas.",Neutro
"Segue rotina seu.",Neutro
"Rotina.",Neutro
"Diárias.",Neutro
"Para estou.",Neutro
"Um neutro em estado estou.",Neutro
"Para estou o.",Neutro
"Aconteceu de excepcional.",Neutro
"Indo o para trabalho estou.",Neutro
"Em neutro estado estou um.",Neutro
"O na inexpressivo quem neutro de pensamento é está.",Neutro
"Em um estado.",Neutro
"Neutro em um.",Neutro
"Diárias minhas fiz eu tarefas.",Neutro
"Hoje de nada aconteceu.",Neutro
"Nada de.",Neutro
"Tarefas.",Neutro
"Aconteceu.",Neutro
"Neutro estou um.",Neutro
"Diárias.",Neutro
"Segue a seu curso rotina.",Neutro
"O é vida neutro de inexpressivo está.",Neutro
"Segue seu.",Neutro
"Estou para.",Neutro
"Um.",Neutro
"Trabalho estou indo para o.",Neutro
"Rotina seu curso segue a.",Neutro
"Para hoje mim é.",Neutro
"Rotina curso a seu.",Neutro
"Segue.",Neutro
"Estado estou.",Neutro
"Está neutro.",Neutro
"Neutro estado.",Neutro
"A rotina segue.",Neutro
"Dia é para.",Neutro
"De aconteceu.",Neutro
"Indo trabalho para o.",Neutro
"Curso a rotina seu.",Neutro
"Tarefas minhas eu diárias fiz.",Neutro
"Rotina.",Neutro
"Eu tarefas fiz.",Neutro
"É neutro o quem.",Neutro
"Em estado neutro.",Neutro
"Seu segue rotina.",Neutro
"Comum mim para.",Neutro
"Um estou neutro estado.",Neutro
"Estou indo.",Neutro
"Comum um para dia hoje é mim.",Neutro
"Na neutro quem é.",Neutro
"Seu segue rotina.",Neutro
"O na pensamento está neutro de.",Neutro
"Curso segue a.",Neutro
"Diárias.",Neutro
"Um estou em.",Neutro
"De.",Neutro
"Estado.",Neutro
"Nada excepcional de.",Neutro
"Curso seu.",Neutro
"Um mim é para dia.",Neutro
"O estou trabalho indo.",Neutro
"Para o.",Neutro
"Estou um.",Neutro
"Neutro estou em estado um.",Neutro
"Um dia hoje para comum.",Neutro
"Hoje.",Neutro
"Na de quem é vida.",Neutro
"Um comum dia é mim.",Neutro
"Hoje nada.",Neutro
"Para mim é comum um dia.",Neutro
"Curso a segue seu rotina.",Neutro
"Curso.",Neutro
"Hoje é um para comum dia mim.",Neutro
"Diárias.",Neutro
"De inexpressivo vida quem pensamento.",Neutro
"Curso a.",Neutro
"Trabalho o estou indo para.",Neutro
"Estou estado em neutro.",Neutro
