text,sentiment
"A vida é o nosso bem mais precioso, é tão forte e capaz de mudar o mundo. Mas ao mesmo tempo é tão frágil, e capaz de terminar em um segundo. Todos os momentos em nossas vidas são mágicos, e cabe a cada um de nós torná-los mais marcantes. Seja feliz e faça alguém feliz também! Estamos todos em busca de amor, amizade, paz, esperança, afeto, sonhos, etc... Não importa, o que vale mesmo é sermos felizes!",Positivo
"Eu estou me sentindo um lixo. Talvez seja “pesado” falar isso, não é mesmo?! Mas é dessa forma que eu me sinto.É uma tristeza profunda, que invade a minha alma, dá um nó na garganta e um aperto no peito.Já chorei tanto, que as minhas lágrimas parecem ter secado. E agora, fico quase que estática, com os olhos saltados e sem nenhuma reação.Os motivos para eu me sentir profundamente triste, são tantos, que se eu fosse listar, deixaria de ser um texto de trizteza profunda, para ser uma lista interminável de justificativas infelizes.Me sinto humilhada e diminuída como pessoa. É como se a vida não tivesse a mínima compaixão comigo . Ás vezes só clamo por misericórdia divina. Pois só quero paz, só quero ficar no meu canto, com sossego e silêncio. Mas eu quero um silêncio que deixa a respiração tranquila e o coração calmo, e não um silêncio que ensurdece e tortura a minha alma.Me sinto totalmente incapaz, pois por mais que eu tente sair dessa vida, eu não consigo. Me falta força, capacidade, ou sei lá o que. Eu simplesmente não consigo mudar a minha vida. Eu não consigo deixar de ser isso que sou. Estou presa nos meus medos e complexos. Vejo que virei prisoneira de mim mesmo.Essa tristeza profunda que me preenche por inteiro, tem sido a minha companhia de muito tempo. Nem todos a perceberam, e ainda acreditam no meu sorriso falso. Mal sabem eles, que dentro desse peito, guardo muita mágoa, raiva, dor e angústia.A única coisa que quero agora, é a quietude de uma vida com paz. Mas enquanto essa vida não vem, só me resta a tristeza, e um enorme sentimento de dor.",Negativo
"Qualquer que seja o caminho que você escolher, busque a felicidade durante a caminhada. A felicidade não é o destino, não é um ponto de chegada. A felicidade é uma jornada, por isso ela pode e deve fazer parte da sua rotina.Não pense na felicidade como algo que só acontece em grandes momentos, ou em ocasiões especiais. Aprenda a cultivar e reconhecer a felicidade nas pequenas coisas, nas situações mais banais. Afinal, são essas situações que preenchem a vida. A vida não é feita só de grandes acontecimentos!Não ache que só será feliz quando a sua vida estiver livre de problemas e quando todos os seus sonhos forem realizados. Isto pode lhe causar uma grande frustração. Pense que a felicidade é uma escolha diária, é o modo como você leva a vida diariamente, e não uma recompensa que só vai chegar depois de tudo.Aproveite todos os momentos da vida para ser feliz, pois eles são únicos.",Positivo

"Este produto é incrível.",Positivo
"Não gosto deste produto. É péssimo.",Negativo
"O clima hoje está perfeito.",Positivo
"O filme foi uma decepção.",Negativo
"O almoço foi excelente.",Positivo
"Estou indiferente ao clima de hoje.",Neutro
"Não consigo entender o filme.",Negativo
"Minha tristeza continua.",Negativo
"O pensamento é poderoso.",Positivo
"Adorei a comida deste restaurante.",Positivo
"O atendimento foi terrível.",Negativo
"Esta música me faz sentir feliz.",Positivo
"Este livro é entediante.",Negativo
"O dia está normal.",Neutro
"Meu dia foi péssimo.",Negativo
"O cenário é deslumbrante.",Positivo
"Não me importo com isso.",Neutro
"O jogo foi emocionante.",Positivo
"Estou me sentindo neutro.",Neutro
"O tráfego está horrível.",Negativo
"O bolo está delicioso.",Positivo
"Não posso reclamar.",Neutro
"Estou radiante de felicidade.",Positivo
"A chuva estragou meu dia.",Negativo
"Este filme é um clássico.",Positivo
"Não vejo a hora de terminar.",Negativo
"Este lugar é incrível.",Positivo
"Estou me sentindo mal.",Negativo
"A festa foi um sucesso.",Positivo
"Não tenho opinião sobre isso.",Neutro
"Estou apaixonado por este livro.",Positivo
"Este é o pior presente de todos os tempos.",Negativo
"O pôr do sol é lindo.",Positivo
"Não estou nem aí.",Neutro
"Este show foi uma experiência única.",Positivo
"Não suporto mais isso.",Negativo
"Este é o melhor dia da minha vida.",Positivo
"Não sei o que pensar sobre isso.",Neutro
"Este é o meu lugar feliz.",Positivo
"Não há esperança.",Negativo
"Adoro fazer isso.",Positivo
"Isso não faz diferença para mim.",Neutro
"Este é o meu sonho.",Positivo
"Não suporto essa música.",Negativo
"O amor é maravilhoso.",Positivo
"Isso não é importante.",Neutro
"Este é o meu lugar seguro.",Positivo
